iter	Passed	Remaining
0	0	97
1	1	88
2	2	84
3	3	78
4	4	79
5	4	77
6	5	77
7	6	77
8	7	76
9	8	75
10	9	74
11	9	73
12	10	71
13	11	70
14	12	70
15	13	69
16	13	68
17	14	67
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	60
24	20	60
25	20	59
26	21	58
27	22	57
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
